tema,palavra
Animais,gato
Animais,cachorro
Animais,elefante
Animais,girafa
Animais,leao
Animais,tigre
Animais,zebra
Animais,macaco
Animais,pinguim
Animais,golfinho
Animais,tubarao
Animais,papagaio
Animais,coruja
Animais,aguia
Animais,cobra
Animais,jacare
Animais,camelo
Animais,rinoceronte
Animais,hipopotamo
Animais,cheetah
Frutas,banana
Frutas,manga
Frutas,abacaxi
Frutas,melancia
Frutas,uva
Frutas,morango
Frutas,laranja
Frutas,limao
Frutas,pera
Frutas,maca
Frutas,coco
Frutas,mamao
Frutas,goiaba
Frutas,kiwi
Frutas,abacate
Frutas,framboesa
Frutas,cereja
Frutas,ameixa
Frutas,figo
Frutas,tangerina
Paises,brasil
Paises,argentina
Paises,franca
Paises,alemanha
Paises,japao
Paises,china
Paises,russia
Paises,canada
Paises,mexico
Paises,italia
Paises,espanha
Paises,portugal
Paises,australia
Paises,india
Paises,egito
Paises,nigeria
Paises,colombia
Paises,chile
Paises,peru
Paises,noruega
Esportes,futebol
Esportes,basquete
Esportes,voleibol
Esportes,tenis
Esportes,natacao
Esportes,ciclismo
Esportes,boxe
Esportes,judo
Esportes,karate
Esportes,atletismo
Esportes,ginastica
Esportes,handebol
Esportes,rugby
Esportes,golfe
Esportes,surfe
Esportes,esqui
Esportes,hipismo
Esportes,remo
Esportes,esgrima
Esportes,badminton
Profissoes,medico
Profissoes,engenheiro
Profissoes,professor
Profissoes,advogado
Profissoes,arquiteto
Profissoes,dentista
Profissoes,enfermeiro
Profissoes,policial
Profissoes,bombeiro
Profissoes,piloto
Profissoes,jornalista
Profissoes,fotografo
Profissoes,musico
Profissoes,ator
Profissoes,escritor
Profissoes,programador
Profissoes,designer
Profissoes,veterinario
Profissoes,farmaceutico
Profissoes,psicologo
Cores,vermelho
Cores,azul
Cores,verde
Cores,amarelo
Cores,laranja
Cores,roxo
Cores,rosa
Cores,marrom
Cores,cinza
Cores,preto
Cores,branco
Cores,bege
Cores,turquesa
Cores,indigo
Cores,violeta
Cores,magenta
Cores,ciano
Cores,dourado
Cores,prata
Cores,bronze
Alimentos,arroz
Alimentos,feijao
Alimentos,macarrao
Alimentos,pao
Alimentos,queijo
Alimentos,frango
Alimentos,carne
Alimentos,peixe
Alimentos,ovo
Alimentos,manteiga
Alimentos,cenoura
Alimentos,batata
Alimentos,tomate
Alimentos,alface
Alimentos,cebola
Alimentos,alho
Alimentos,brocolis
Alimentos,couve
Alimentos,espinafre
Alimentos,milho
Instrumentos,violao
Instrumentos,piano
Instrumentos,bateria
Instrumentos,flauta
Instrumentos,trompete
Instrumentos,saxofone
Instrumentos,violino
Instrumentos,contrabaixo
Instrumentos,teclado
Instrumentos,acordeon
Instrumentos,harpa
Instrumentos,clarinete
Instrumentos,trombone
Instrumentos,oboa
Instrumentos,fagote
Instrumentos,tuba
Instrumentos,triangulo
Instrumentos,pandeiro
Instrumentos,tambor
Instrumentos,gaita
Planetas,mercurio
Planetas,venus
Planetas,terra
Planetas,marte
Planetas,jupiter
Planetas,saturno
Planetas,urano
Planetas,netuno
Planetas,plutao
Planetas,ceres
Planetas,eris
Planetas,haumea
Planetas,makemake
Planetas,sedna
Planetas,quaoar
Planetas,orcus
Planetas,varuna
Planetas,ixion
Planetas,chaos
Planetas,salacia
Tecnologia,computador
Tecnologia,smartphone
Tecnologia,internet
Tecnologia,programa
Tecnologia,algoritmo
Tecnologia,servidor
Tecnologia,database
Tecnologia,framework
Tecnologia,interface
Tecnologia,protocolo
Tecnologia,compilador
Tecnologia,variavel
Tecnologia,funcao
Tecnologia,objeto
Tecnologia,classe
Tecnologia,metodo
Tecnologia,atributo
Tecnologia,pacote
Tecnologia,biblioteca
Tecnologia,repositorio
